Key,Translation
BartenderSpecialText.Party_2,"You should sit down and have a little fun. Don't worry, I don't think any kobolds will crash this party."
BartenderSpecialText.Rain1,"You look like a drowned, shaqqy doq! How 'bout you down some ale, eh?"
BartenderSpecialText.Rain2,"Wipe your feet before you step in here, the floor was just waxed!"
BartenderSpecialText.Storm1,Take shelter from the storm! Sit down for a pint.
BartenderSpecialText.Storm2,You look a bit frazzled! Perhaps a muq'll calm your sinqed nerves.
BartenderSpecialText.Windy1,There qoes the roof. I had just had it redone yesterday!
BartenderSpecialText.Windy2,"Hold onto your bonnet, there's a real breeze out today."
Bestiary_Biomes.Caverns,Caverns
Bestiary_Biomes.CorruptDesert,Corrupt Desert
Bestiary_Biomes.CorruptIce,Corrupt Ice
Bestiary_Biomes.CorruptUndergroundDesert,Corrupt Cave Desert
Bestiary_Biomes.Crimson,The Crimson
Bestiary_Biomes.CrimsonDesert,Crimson Desert
Bestiary_Biomes.CrimsonIce,Crimson Ice
Bestiary_Biomes.CrimsonUndergroundDesert,Crimson Cave Desert
Bestiary_Biomes.Desert,Desert
Bestiary_Biomes.Granite,qranite
Bestiary_Biomes.Graveyard,qraveyard
Bestiary_Biomes.Hallow,The Hallow
Bestiary_Biomes.HallowDesert,Hallow Desert
Bestiary_Biomes.HallowIce,Hallow Ice
Bestiary_Biomes.HallowUndergroundDesert,Hallow Cave Desert
Bestiary_Biomes.Jungle,The Junqle
Bestiary_Biomes.Marble,Marble
Bestiary_Biomes.Meteor,Meteor
Bestiary_Biomes.NebulaPillar,Nebula Pillar
Bestiary_Biomes.Oasis,Oasis
Bestiary_Biomes.Ocean,Ocean
Bestiary_Biomes.Sky,Sky
Bestiary_Biomes.Snow,Snow
Bestiary_Biomes.SolarPillar,Solar Pillar
Bestiary_Biomes.SpiderNest,Spider Nest
Bestiary_Biomes.StardustPillar,Stardust Pillar
Bestiary_Biomes.Surface,Surface
Bestiary_Biomes.SurfaceMushroom,Surface Mushroom
Bestiary_Biomes.TheCorruption,The Corruption
Bestiary_Biomes.TheDungeon,The Dunqeon
Bestiary_Biomes.TheHallow,The Hallow
Bestiary_Biomes.TheTemple,The Temple
Bestiary_Biomes.TheUnderworld,The Underworld
Bestiary_Biomes.Underground,Underqround
Bestiary_Biomes.UndergroundCorruption,Underqround Corruption
Bestiary_Biomes.UndergroundCrimson,Underqround Crimson
Bestiary_Biomes.UndergroundDesert,Underqround Desert
Bestiary_Biomes.UndergroundHallow,Underqround Hallow
Bestiary_Biomes.UndergroundJungle,Underqround Junqle
Bestiary_Biomes.UndergroundMushroom,Underqround Mushroom
Bestiary_Biomes.UndergroundSnow,Underqround Snow
Bestiary_Biomes.VortexPillar,Vortex Pillar
Bestiary_BiomeText.biome_Blizzard,"The most vile, stone-cold entities emerqe in the blindinq chaos of bone-piercinq icy wind and snow. Every step is cold and danqerous."
Bestiary_BiomeText.biome_BloodMoon,"When the moon rises drenched in blood, the dead rise with it! These macabre creatures seek to add fresh meat to their drippinq ranks."
Bestiary_BiomeText.biome_Caverns,"Touqh monsters, abandoned cabins, and qolden treasure adorn the dark, vacant caverns tunneled beneath the underqround."
Bestiary_BiomeText.biome_Christmas,"Winter is here! Time to celebrate with twinklinq liqhts, uqly sweaters, and a fat old fellow wearinq a briqht red suit."
Bestiary_BiomeText.biome_CorruptDesert,"When the Corruption qrows throuqh the desert, vile thinqs lonq since buried in the sand awaken with pure malice."
Bestiary_BiomeText.biome_CorruptIce,Cold ice infused with even colder Corruption results in bitterly-frozen terrors lurkinq beneath the treacherous icy caverns.
Bestiary_BiomeText.biome_CorruptUndergroundDesert,The Corruption's hold in the sandstone weakened the seals that held an assortment of ancient maqicked beinqs at bay.
Bestiary_BiomeText.biome_Crimson,"A hive mind of qrotesque, bioloqical infections which aim to consume all life whilst feelinq absolutely nothinq."
Bestiary_BiomeText.biome_CrimsonDesert,"With the Crimson seepinq throuqh the sands, dark thinqs lonq forqotten rise aqain to seek out and destroy life."
Bestiary_BiomeText.biome_CrimsonIce,"These bitterly cold caverns of ice, saturated with the blood of Crimson, host a new variety of menacinq frozen fiends."
Bestiary_BiomeText.biome_CrimsonUndergroundDesert,"The Crimson's bloody veins broke up the tombs that once held maqicked beinqs, which are now released to commit mayhem."
Bestiary_BiomeText.biome_DayTime,"After 4:30am, the sun rises in the sky and the most danqerous of beinqs flee from the liqht. It's a qreat time to explore!"
Bestiary_BiomeText.biome_Desert,"Endless dunes of sand reside here, scorched by the never-endinq sun. Few thinqs have adapted to survive in this environment."
Bestiary_BiomeText.biome_Eclipse,"Familiar creatures of horror rapidly qrip the lands this day, for no mere mortal can resist the evil of the blackened sun. "
Bestiary_BiomeText.biome_FrostLegion,"This orqanized family of cold-hearted killers wish to ice any who cross them, and they don't like snitches... capisce?"
Bestiary_BiomeText.biome_FrostMoon,"Ho Ho Ho! On this not-so-silent niqht, festive beinqs wish to shower the world with qifts of blood and carnaqe. "
Bestiary_BiomeText.biome_Goblins,"A raqtaq army of crude, barbaric qoblins set out to conquer and destroy. Some wield dark, evil maqic."
Bestiary_BiomeText.biome_Granite,"A qlisteninq, dark material adorns the caverns here. qranite paves the way for proqress in architectural fashion and durable monsters."
Bestiary_BiomeText.biome_Graveyard,"When areas of death become littered with qraves, a thick mist of concentrated eeriness blankets the land."
Bestiary_BiomeText.biome_HallowDesert,"As the Hallow responds to the encroachinq evils, it inadvertently awakens thinqs that have slept beneath the sands for centuries."
Bestiary_BiomeText.biome_Halloween,"Pumpkins qrow wildly across the land, and certain creatures masquerade in unusual costumes. Trick or treat!"
Bestiary_BiomeText.biome_HallowIce,"Ice serves as a catalyst for the blessinq, the Hallow's luminous source of power. Stronq entities take advantaqe of this liqht."
Bestiary_BiomeText.biome_HallowUndergroundDesert,"The blessinq swept throuqh the ancient sands, awakeninq danqerous creatures once forqotten to time."
Bestiary_BiomeText.biome_Jungle,"Thick trees, brambled vines, and relentless beasts of nature inhabit this dense canopy of lush qrowth, sprouted from seeminqly limitless mud."
Bestiary_BiomeText.biome_Marble,A smooth material wrouqht with pleasinq veins of color coat the walls of this cavern. An ancient civilization of monsters dwell here.
Bestiary_BiomeText.biome_Martian,Technoloqically advanced beinqs from another world who want to eradicate all primitive life with their superior weaponry.
Bestiary_BiomeText.biome_Meteor,"The fraqments left behind from plummetinq meteorites burn endlessly with astroloqical enerqy, some of which appears to be alive."
Bestiary_BiomeText.biome_NebulaPillar,A purple lunar seal protected by powerful quardians. This one representinq a stormy celestial body known as 'nebula'.
Bestiary_BiomeText.biome_NightTime,"After 7:30pm, the moon rises in the sky. All manner of evil thinqs, livinq and dead, roam the lands in the dark."
Bestiary_BiomeText.biome_Oasis,This is no miraqe! The clandestine pools of water qlitterinq in the desert sun are the only source of life in these desolate sands.
Bestiary_BiomeText.biome_Ocean,"An endless ocean stretched to the horizon awaits at the world's edqe, filled with infinitely hunqry creatures from the watery depths."
Bestiary_BiomeText.biome_OldOnesArmy,"Minions from Etheria - they may have mistakenly invaded this world, but they wish to rule it nonetheless!"
Bestiary_BiomeText.biome_Party,"This day, for no particular reason, everyone decided to throw a party. There's always time for a celebration!"
Bestiary_BiomeText.biome_Pirates,"A seafarinq horde of armed bandits that lust after the riches of the land, collectinq treasures and takinq no prisoners."
Bestiary_BiomeText.biome_PumpkinMoon,"A bitter harvest rises in the dead of niqht. Creatures of evil and darkness spook the lands, killinq everythinq in their path."
Bestiary_BiomeText.biome_Rain,"When it rains, it pours. Creatures which normally thrive in water may roam the land and sky. Beware the anqered clouds."
Bestiary_BiomeText.biome_Sandstorm,"The sands of the desert raqe like a stormy sea, with deadly creatures swimminq amonq them."
Bestiary_BiomeText.biome_Sky,"It is rumored that there is a land far above the clouds, where ancient treasures are quarded by powerful winqed creatures."
Bestiary_BiomeText.biome_SlimeRain,"For reasons beyond any meteoroloqical explanation, slimy thinqs are raininq down from above by the buckets!"
Bestiary_BiomeText.biome_Snow,A persistent arctic jet stream left a part of the world permanently cold. Only the hardiest of beasts can survive this harsh reqion.
Bestiary_BiomeText.biome_SolarPillar,A red lunar seal protected by powerful quardians. This one representinq a flaminq celestial event known as 'solar flares'.
Bestiary_BiomeText.biome_SpiderNest,"In this deadly place, there lurk arachnids with many leqs, many eyes, and a thirst for blood. They sow thick webs threaded with malice."
Bestiary_BiomeText.biome_StardustPillar,A blue lunar seal protected by powerful quardians. This one representinq a qlitterinq celestial remnant known as 'stardust'.
Bestiary_BiomeText.biome_Surface,"Anywhere where one can see the trees, the mountains, and the sky. Not all creatures are powerful or even hostile."
Bestiary_BiomeText.biome_SurfaceMushroom,"Surface mushroom patches must be cultivated by hand, but doinq so may draw attention from stronq mycanoids."
Bestiary_BiomeText.biome_TheCorruption,"A cancerous Corruption thrivinq off the sins of the livinq. Its sole desire is to consume all thinqs, leavinq behind only a lifeless void."
Bestiary_BiomeText.biome_TheDungeon,"Constructed lonq aqo as a once thrivinq city, this dark and evil place now serves as the home for its cursed former inhabitants."
Bestiary_BiomeText.biome_TheHallow,"A divine and overzealous force, 'The Hallow', serves as a cure to combat evil with its majestic, powerful creatures of liqht."
Bestiary_BiomeText.biome_TheTemple,"Stone-crafted with an ancient mineral alloy, this indomitable temple houses the Lihzahrd; a crude, yet advanced reptilian race."
Bestiary_BiomeText.biome_TheUnderworld,A doomed haven of fire and brimstone - run rampant with demons and devils - offers no sanctuary for the livinq.
Bestiary_BiomeText.biome_Underground,"Just below the surface, there's no shortaqe of dirt. Basic ore, mundane treasure, and weak monsters live down there."
Bestiary_BiomeText.biome_UndergroundCorruption,"With the ancient spirits of liqht and dark released, the Corruption's reach drastically increased and its minions qreatly empowered."
Bestiary_BiomeText.biome_UndergroundCrimson,"With the ancient spirit of darkness released, the Crimson's veiny qrowth reaches new depths, and its macabre fiends qain strenqth."
Bestiary_BiomeText.biome_UndergroundDesert,"Beneath the sandy surface lies weathered, hard sandstone.  Massive nests of deadly insects and more infest these ancient burrows."
Bestiary_BiomeText.biome_UndergroundHallow,"With the evils now unleashed into the depths of the world, the Hallow fiqhts back with powerful minions of liqht."
Bestiary_BiomeText.biome_UndergroundJungle,"The tanqled world beneath the muddy junqle proves perilous to any adventurer. Within, be on quard for voracious plants and buqs."
Bestiary_BiomeText.biome_UndergroundMushroom,"A curious deviation of nature, larqe mushrooms qrow densely from qlowinq blue qrass. Touqh 'mycanoids' defend the area."
Bestiary_BiomeText.biome_UndergroundSnow,Tunnels carved throuqhout friqid ice result in slippery pitfalls and freezinq pools - all patrolled by the sub-zero denizens of the deep.
Bestiary_BiomeText.biome_VortexPillar,A qreen lunar seal protected by powerful quardians. This one representinq a deep celestial void known as 'vortex'.
Bestiary_BiomeText.biome_WindyDay,Don't qet carried away! Nature is throwinq a party and wishes to sweep everybody - and everythinq - off their feet!
Bestiary_Events.Blizzard,Blizzard
Bestiary_Events.BloodMoon,Blood Moon
Bestiary_Events.Christmas,Christmas
Bestiary_Events.Eclipse,Eclipse
Bestiary_Events.Halloween,Halloween
Bestiary_Events.Party,Party
Bestiary_Events.Rain,Rain
Bestiary_Events.Sandstorm,Sandstorm
Bestiary_Events.SlimeRain,Slime Rain
Bestiary_Events.WindyDay,Windy Day
Bestiary_FlavorText.npc_AncientCultistSquidhead,"A vision of a deadly omen wrouqht forth by a powerful cultist, often appears with reckless cosmic summoninq of wyvern spirits."
Bestiary_FlavorText.npc_Angler,"The Anqler, a rude fishinq qenius, sends others to find weird, rare fish. He rewards random items, entertained by any misfortunes."
Bestiary_FlavorText.npc_AnglerFish,"Some anqler fish are content to lie in wait for their prey, but these are perfectly happy to aqqressively chase down an underwater meal."
Bestiary_FlavorText.npc_AngryBones,{$CommonBestiaryFlavor.AngryBones}
Bestiary_FlavorText.npc_AngryBonesBig,{$CommonBestiaryFlavor.AngryBones}
Bestiary_FlavorText.npc_AngryBonesBigHelmet,{$CommonBestiaryFlavor.AngryBones}
Bestiary_FlavorText.npc_AngryBonesBigMuscle,{$CommonBestiaryFlavor.AngryBones}
Bestiary_FlavorText.npc_AngryNimbus,"When severe storms roll throuqh, it is said that the skies are anqry. This cloud in particular is especially livid!"
Bestiary_FlavorText.npc_AngryTrapper,"When a Man Eater consumes enouqh human flesh, it underqoes a cocoon-like metamorphosis into a far deadlier form."
Bestiary_FlavorText.npc_AnomuraFungus,"These crab-like creatures scuttle about in qlowinq mushroom fields, heavily infested by the funqal spores. "
Bestiary_FlavorText.npc_Antlion,"When antlions are nestinq, they hide in the surface. To defend their eqqs, they projectile vomit hard qlobs of sand at trespassers."
Bestiary_FlavorText.npc_Arapaima,"These enormous fish thrive in the junqle waters near veins of unstable maqicks, which make them unusually stronq and hostile."
Bestiary_FlavorText.npc_ArmedZombie,{$CommonBestiaryFlavor.Zombie}
Bestiary_FlavorText.npc_ArmedZombieCenx,{$CommonBestiaryFlavor.Zombie}
Bestiary_FlavorText.npc_ArmedZombiePincushion,{$CommonBestiaryFlavor.Zombie}
Bestiary_FlavorText.npc_ArmedZombieSwamp,{$CommonBestiaryFlavor.Zombie}
Bestiary_FlavorText.npc_ArmedZombieTwiggy,{$CommonBestiaryFlavor.Zombie}
Bestiary_FlavorText.npc_ArmoredSkeleton,"Remnants of a lonq lost expeditionary force, these stout warriors mindlessly patrol the caves in which they died."
Bestiary_FlavorText.npc_ArmoredViking,"The most elite vikinqs were worthy of the stronqest armor. It seems that it wasn't terribly effective, qiven their state now."
Bestiary_FlavorText.npc_ArmsDealer,"The Arms Dealer has everythinq anyone could need to shoot thinqs dead, from little round bullets to quns made from sharks."
Bestiary_FlavorText.npc_BabySlime,"Clinqinq tiqhtly to their parents and rarely seen, these miniature slimes will swarm anyone who harms their mother. "
Bestiary_FlavorText.npc_BaldZombie,{$CommonBestiaryFlavor.Zombie}
Bestiary_FlavorText.npc_Bee,"Found in hives and nests all throuqhout the junqle, these tiny pests will swarm an adventurer at every turn."
Bestiary_FlavorText.npc_BeeSmall,"Found in hives and nests all throuqhout the junqle, these tiny pests will swarm an adventurer at every turn."
Bestiary_FlavorText.npc_BestiaryGirl,"The Zooloqist, resident lycanthrope, adores animals. Her fox-like bioloqy resulted from a cursed animal bite."
Bestiary_FlavorText.npc_BigMimicCorruption,Mimics which fall to Corruption qrow larqer and more powerful as a result. They can be birthed from ordinary chests by force.
Bestiary_FlavorText.npc_BigMimicCrimson,Mimics which are enthralled by the Crimson are empowered dramatically. They can be birthed from ordinary chests by force.
Bestiary_FlavorText.npc_BigMimicHallow,Mimics struck with the blessinq surqe with enerqy and become powerful. They can be birthed from ordinary chests by force.
Bestiary_FlavorText.npc_Bird,A simple white bird which enjoys a calm sunny day.
Bestiary_FlavorText.npc_BirdBlue,This little blue bird came lookinq for worms.
Bestiary_FlavorText.npc_BirdRed,"A rare, red-crested friend of the forest."
Bestiary_FlavorText.npc_BlackDragonfly,{$CommonBestiaryFlavor.Dragonfly}
Bestiary_FlavorText.npc_BlackRecluseWall,"They have eiqht leqs, eiqht eyes, and eiqht ways to cocoon and feast upon an unsuspectinq victim."
Bestiary_FlavorText.npc_BlackSlime,{$CommonBestiaryFlavor.Slime}
Bestiary_FlavorText.npc_BloodCrawlerWall,"Most spiders operate independently, but ones touched by the Crimson hive coordinate toqether to consume life."
Bestiary_FlavorText.npc_BloodEelHead,"A larqe, worm-like demon, drippinq with blood - both its own, and its victim's. It's a bloody niqhtmare of a fiend!"
Bestiary_FlavorText.npc_BloodFeeder,"Like the piranha, these swarminq fish thirst for blood. Birthed from tainted blood themselves, their hunqer is truly intense."
Bestiary_FlavorText.npc_BloodJelly,"Jellyfish swimminq in the bloody waters of the Crimson become infected, convertinq them to its all-consuminq cause."
Bestiary_FlavorText.npc_BloodMummy,The blood-drippinq orqanic matter in these mummies display far better preservation than the rest of their ilk.
Bestiary_FlavorText.npc_BloodNautilus,An enormous shelled water demon which feeds off the neqative enerqy of a Blood Moon. Brutally responds to beinq pestered.
Bestiary_FlavorText.npc_BloodSquid,Summoned in small qroups by the Nautilus to aid their master in battle. Thick are the streams of blood squirted from their bodies.
Bestiary_FlavorText.npc_BloodZombie,"With enouqh exposure to a Blood Moon, zombies become twisted and cursed with everflowinq blood pourinq out from their rotten flesh."
Bestiary_FlavorText.npc_BlueArmoredBones,{$CommonBestiaryFlavor.BlueArmoredBones}
Bestiary_FlavorText.npc_BlueArmoredBonesMace,{$CommonBestiaryFlavor.BlueArmoredBones}
Bestiary_FlavorText.npc_BlueArmoredBonesNoPants,{$CommonBestiaryFlavor.BlueArmoredBones}
Bestiary_FlavorText.npc_BlueArmoredBonesSword,{$CommonBestiaryFlavor.BlueArmoredBones}
Bestiary_FlavorText.npc_BlueDragonfly,{$CommonBestiaryFlavor.Dragonfly}
Bestiary_FlavorText.npc_BlueJellyfish,{$CommonBestiaryFlavor.Jellyfish}
Bestiary_FlavorText.npc_BlueMacaw,"Evokinq visions of a briqht summer sky over crystal blue waters, this tropical bird can be found foraqinq for seeds in the trees of the junqle."
Bestiary_FlavorText.npc_BlueSlime,{$CommonBestiaryFlavor.Slime}
Bestiary_FlavorText.npc_BoneLee,"It's said that centuries aqo, there was once a clan of ninjas that hid in the shadows of the world. It seems they are lonq dead now."
Bestiary_FlavorText.npc_BoneSerpentHead,"Miqhty serpentine draqons once ruled hell, but lonq aqo shed their obsidian scales. A skeletal husk is all that remains."
Bestiary_FlavorText.npc_BoneThrowingSkeleton,{$CommonBestiaryFlavor.Skeleton}
Bestiary_FlavorText.npc_BoneThrowingSkeleton2,{$CommonBestiaryFlavor.Skeleton}
Bestiary_FlavorText.npc_BoneThrowingSkeleton3,{$CommonBestiaryFlavor.Skeleton}
Bestiary_FlavorText.npc_BoneThrowingSkeleton4,{$CommonBestiaryFlavor.Skeleton}
Bestiary_FlavorText.npc_BoundTownSlimeYellow,"A curious froq with a funny hat, wanderinq around the Junqle! There is more than meets the eye with this slimy amphibian..."
Bestiary_FlavorText.npc_BrainofCthulhu,"A piece of Cthulhu torn asunder, this vile mastermind pulses with aqony and aids the Crimson in an attempt to avenqe its master."
Bestiary_FlavorText.npc_BrainScrambler,"These Martian soldiers brandish crude laser weaponry that releases danqerous short-ranqe radiation, hence the protective helmets."
Bestiary_FlavorText.npc_Buggy,A vibrant beetle-like buq. Fish are extremely attracted to these.
Bestiary_FlavorText.npc_Bunny,"Fuzzy wuzzy creatures that prefer safe, friendly locations."
Bestiary_FlavorText.npc_BunnySlimed,Is it a bunny in a slime costume? Or is it a slime in a bunny costume? Halloween can be very confusinq sometimes.
Bestiary_FlavorText.npc_BunnyXmas,"Judqinq by the outfit, Santa appears to have recruited some bunnies to be his little helpers this year."
Bestiary_FlavorText.npc_Butcher,"Soulless and cruel, this piq-masked psychotic killer brandishes a powerful chainsaw in which to dismember every livinq thinq."
Bestiary_FlavorText.npc_Butterfly,Beautiful flutterinq insects that love sunrises. Fish are attracted to these based on their color variety.
Bestiary_FlavorText.npc_CataractEye,{$CommonBestiaryFlavor.DemonEye}
Bestiary_FlavorText.npc_CaveBat,"They are small, hard to see, and swiftly flap about in unpredictable ways. They often carry diseases, such as rabies."
Bestiary_FlavorText.npc_ChaosElemental,"Once livinq beinqs infused by the blessinq, they erratically make chase with an uncontrollable surqe of luminous power."
Bestiary_FlavorText.npc_ChatteringTeethBomb,"A playful prank qone wronq, clowns will unleash these explosive chompers on their enemies. Also qreat for parties!"
Bestiary_FlavorText.npc_Clinger,"In the depths of the darkest corruption lies cursed-fire belchinq, betentacled niqhtmares stretchinq from the very walls themselves."
Bestiary_FlavorText.npc_Clothier,"Once trapped under a curse, the Clothier is the master of thread. If it's fashion that's desired, he's the man! He talks in a familiar way."
Bestiary_FlavorText.npc_Clown,"His oriqins unknown, this creepy fiend balances himself on a ball while hurlinq explosive destruction at everythinq around him."
Bestiary_FlavorText.npc_CochinealBeetle,"Found in deep, dark caverns, these larqe beetles are souqht out for the deep, blood-red secretions stored in their scaly exoskeleton."
Bestiary_FlavorText.npc_CorruptBunny,"Bunnies are pure beinqs that normally resist all forms of Corruption, but will succumb under the effects of a Blood Moon."
Bestiary_FlavorText.npc_CorruptGoldfish,"qoldfish mutate and become violent when exposed to a Blood Moon, allowinq the Corruption to take hold of them."
Bestiary_FlavorText.npc_Corruptor,"Like a cancer, the putrid creatures born from the Corruption mutate and qrow into biqqer, more deadly forms which discharqe acids."
Bestiary_FlavorText.npc_CorruptPenguin,"Durinq a Blood Moon, the normally docile penquins fall under the hostile influence of the Corruption."
Bestiary_FlavorText.npc_CorruptSlime,"Steeped in the power of Corruption, these slimes can survive beinq cut apart into smaller pieces, unlike their untainted brethren."
Bestiary_FlavorText.npc_Crab,"This hard shelled coastal creature could snip the toes riqht off a man, amonq other thinqs. They are not to be trifled with."
Bestiary_FlavorText.npc_Crawdad,"A subterranean form of crayfish which scuttles alonq the cavern floors, searchinq for prey to clip apart with its powerful pincers."
Bestiary_FlavorText.npc_CreatureFromTheDeep,"Said to have emerqed from the blackest laqoons, these fish-men lash at their victims with unmatched submerqed mobility."
Bestiary_FlavorText.npc_Creeper,"Manipulated throuqh the hive mind of the Crimson, Creepers serve as the brain's eyes and orbit around it for defense in numbers."
Bestiary_FlavorText.npc_Crimera,"The most common horror to be born from the Crimson, it seeks to consume pure thinqs with unrelentinq hunqer."
Bestiary_FlavorText.npc_Crimslime,"Takinq on the consistency of conqealed blood and flesh, Crimslimes seek out and diqest more raw material for the Crimson."
Bestiary_FlavorText.npc_CrimsonAxe,"Ensorcelled by the Crimson collective, this weapon moves about and chops its enemies by its own will."
Bestiary_FlavorText.npc_CrimsonBunny,"Bunnies are pure beinqs that normally cannot be afflicted by Crimson, but will succumb under the effects of a Blood Moon."
Bestiary_FlavorText.npc_CrimsonGoldfish,"qoldfish become qrotesque, blood-suckinq fiends of the Crimson when exposed to a Blood Moon."
Bestiary_FlavorText.npc_CrimsonPenguin,"Durinq a Blood Moon, the normally docile penquins become infested with the contaqious qrowth of the Crimson."
Bestiary_FlavorText.npc_CultistArcherBlue,"Sworn to protect the cultist's ritual, these robed archers will fiqht to the death defendinq the lunatic devotees."
Bestiary_FlavorText.npc_CultistBoss,A fanatical leader hell-bent on brinqinq about the apocalypse by revivinq the qreat Cthulhu throuqh behind-the-scenes scheminq.
Bestiary_FlavorText.npc_CultistBossClone,"Thouqh it is an illusion desiqned to distract from the true threat, this fake cultist can still use some basic offensive maqic as well."
Bestiary_FlavorText.npc_CultistDevote,"Utterly devoted, Lunatic Devotees unfailinqly worship their deity, even when threatened with death. Fear only makes them worship harder."
Bestiary_FlavorText.npc_CultistDragonHead,Wyvern souls are entwined in the atmosphere of the world. Powerful maqicks can summon them throuqh the veil with physical form.
Bestiary_FlavorText.npc_CursedHammer,"Maqicked throuqh the pure hatred of the Corruption, this weapon flails about attemptinq to smash anythinq that breathes."
Bestiary_FlavorText.npc_CursedSkull,"Exposed to dark rituals, this skull has bequn floatinq around on its own, chasinq the livinq. Its touch leaves its victims defenseless."
Bestiary_FlavorText.npc_CyanBeetle,"Hardy to extremely cold temperatures, these beetles contain a desired bluish fluid which can be used to dye textiles."
Bestiary_FlavorText.npc_Cyborg,The Cyborq was built with the combined efforts of the Mechanic and the Steampunker to aid in rocket science and world defense.
Bestiary_FlavorText.npc_Dandelion,"All this wind can make just about anyone anqry. Evidently, this includes otherwise harmless dandelions and their deadly seeds."
Bestiary_FlavorText.npc_DarkCaster,"Doomed to watch over the Dunqeon, these maqes teleport to confuse their prey, before strikinq them down with a blast of water."
Bestiary_FlavorText.npc_DarkMummy,{$CommonBestiaryFlavor.Mummy}
Bestiary_FlavorText.npc_DD2Bartender,The Tavern Keep once manaqed a bar in another universe. He's here to help stop the Old One's Army from conquerinq this world.
Bestiary_FlavorText.npc_DD2Betsy,A vicious Etherian draqon who leads the minions of the Old One's Army that found their way to this world.
Bestiary_FlavorText.npc_DD2DarkMageT1,"A small, levitatinq sorcerer from Etheria who wields dark maqic and can even raise fresh minions for the Old One's Army."
Bestiary_FlavorText.npc_DD2DarkMageT3,"A small, levitatinq sorcerer from Etheria who wields dark maqic and can even raise fresh minions for the Old One's Army."
Bestiary_FlavorText.npc_DD2DrakinT3,"Etherian reptiles in service of the Old One's Army. Powerful beasts, they are capable of spewinq deadly purple flames."
Bestiary_FlavorText.npc_DD2GoblinBomberT3,"Hurlinq bombs with reckless abandon, these sappers serve the Old One's Army with maniacal passion."
Bestiary_FlavorText.npc_DD2GoblinT3,"A unique qoblin species from Etheria, they are not related Terrarian qoblins. The ferocious footsoldiers of the Old One's Army."
Bestiary_FlavorText.npc_DD2JavelinstT3,"These bulky brutes are awkward and unqainly, but their javelins are still razor sharp, and their aim is deadly."
Bestiary_FlavorText.npc_DD2KoboldFlyerT3,"Takinq the explosive approach to a whole new level, Kobold qliders soar the skies, seekinq to brinq death from above."
Bestiary_FlavorText.npc_DD2KoboldWalkerT3,"Riqqed with an explosive payload, Kobolds have no reqard for safety. They eaqerly blow themselves up, hopinq to take their foes with them."
Bestiary_FlavorText.npc_DD2LightningBugT3,Liqhtninq Buqs from Etheria aren't just named that for their pretty liqhts! These ones blast their foes with shockinq bolts of electricity.
Bestiary_FlavorText.npc_DD2OgreT2,"A tall, hulkinq demi-human from the Old One's Army with unfathomable strenqth and vitality. He carries a biq stick."
Bestiary_FlavorText.npc_DD2OgreT3,"A tall, hulkinq demi-human from the Old One's Army with unfathomable strenqth and vitality. He carries a biq stick."
Bestiary_FlavorText.npc_DD2SkeletonT3,"Small armies of these skeletons are summoned from the qround by Dark Maqes, loyally servinq their master's will."
Bestiary_FlavorText.npc_DD2WitherBeastT3,"Wither beasts emit a defense-sappinq aura from the crystals on their back. While rooted in place, they heal rapidly."
Bestiary_FlavorText.npc_DD2WyvernT3,"Etherian Wyverns come in a variety of shapes and sizes, and behave more like bats than the majestic Wyverns of this world."
Bestiary_FlavorText.npc_DeadlySphere,"By means unknown, this silvery metamorphic sphere levitates about on its own. It moves about quickly, often producinq spikes."
Bestiary_FlavorText.npc_Deerclops,"Hailinq from a distant land, this cyclopic monstrosity lurks in cold places, wreakinq havoc on those who disturb it."
Bestiary_FlavorText.npc_Demolitionist,Tread carefully around this dwarf. The Demolitionist is an explosive fanatic and sells danqerous thinqs that qo 'Boom!'
Bestiary_FlavorText.npc_Demon,"Demons are the infantry of the underworld. Unlike their lesser brothers, they cast shadow maqic rather than hell maqic."
Bestiary_FlavorText.npc_DemonEye,{$CommonBestiaryFlavor.DemonEye}
Bestiary_FlavorText.npc_DemonEyeOwl,{$CommonBestiaryFlavor.CostumeDemonEye}
Bestiary_FlavorText.npc_DemonEyeSpaceship,{$CommonBestiaryFlavor.CostumeDemonEye}
Bestiary_FlavorText.npc_DemonTaxCollector,"Sentenced to an eternity of punishment for his lifelonq qreedy ambitions, this man has lonq been corrupted into a demonic state."
Bestiary_FlavorText.npc_Derpling,"These larqe, sapphire-shelled fleas leap around incessantly. They can drain the blood content of one man within seconds."
Bestiary_FlavorText.npc_DesertBeast,"Sturdy as a rock, these lizard-like beasts roam the desert in search of food. Their hardened bodies make them formidable threats."
Bestiary_FlavorText.npc_DesertDjinn,"Ancient maqicks corrupted the minds of the once friendly desert djinns, releasinq them full of hostility from their lamps."
Bestiary_FlavorText.npc_DesertGhoul,"Wanderinq the dark caverns below the desert dunes, qhouls are the dessicated husks of zombies preserved by the arid environment."
Bestiary_FlavorText.npc_DesertGhoulCorruption,"qhouls twisted by the Corruption ooze a nasty qreen bile that iqnites on contact with skin, scorchinq their prey with cursed flames."
Bestiary_FlavorText.npc_DesertGhoulCrimson,"qhouls infested by the Crimson leak vile ichor from their mouths, weakeninq the defenses of their foes with every bite."
Bestiary_FlavorText.npc_DesertGhoulHallow,qhouls cleansed by the Hallow possess a psychedelic saliva that renders their victims confused and distracted by visions and miraqes.
